Month;Day;Year;Discharge (bbl);InlandRecovery (T);Burned (bbl);RITT_TopHat (bbl);OilyWater (bbl);SubsurfDispersants (gal);SurfaceDispersants (gal)
4;20;2010;0;0;0;0;0;0;0
4;21;2010;0;0;0;0;0;0;0
4;22;2010;62200;0;0;0;0;0;1701
4;23;2010;62100;0;0;0;1630;0;0
4;24;2010;61900;0;0;0;155;0;0
4;25;2010;61800;0;0;0;0;0;9818
4;26;2010;61700;0;0;0;7832;0;14486
4;27;2010;61600;0;0;0;18557;0;27078
4;28;2010;61500;0;95;0;3306;0;42143
4;29;2010;61400;0;0;0;3245;0;40913
4;30;2010;61300;0;0;0;1427;2196;4900
5;1;2010;61200;0;0;0;992;0;11653
5;2;2010;61000;0;0;0;0;3399;0
5;3;2010;60900;0;0;0;0;5812;0
5;4;2010;60800;0;0;0;9996;7580;34273
5;5;2010;60700;0;880;0;0;0;49575
5;6;2010;60600;0;6155;0;21452;0;28770
5;7;2010;60500;0;2010;0;13788;0;7270
5;8;2010;60400;0;0;0;26189;0;41690
5;9;2010;60200;0;0;0;33865;0;55932
5;10;2010;60100;0;0;0;8957;9460;56220
5;11;2010;60000;0;0;0;0;2100;7940
5;12;2010;59900;0;0;0;0;0;39710
5;13;2010;59800;0;0;0;0;0;41620
5;14;2010;59700;0;0;0;0;0;44031
5;15;2010;59600;0;0;500;0;7222;14208
5;16;2010;59400;0;0;900;6987;6300;670
5;17;2010;59300;0;3175;1030;23873;7980;13213
5;18;2010;59200;0;785;1200;13903;3450;12386
5;19;2010;59100;0;27350;3000;11849;4879;3352
5;20;2010;59000;0;11150;2200;13600;14151;1
5;21;2010;58900;0;0;2175;13126;14400;29892
5;22;2010;58800;0;0;1361;12025;14130;52946
5;23;2010;58700;0;950;1120;14108;14738;18104
5;24;2010;58500;0;2450;0;4135;14494;630
5;25;2010;58400;0;350;6078;3943;12925;200
5;26;2010;58300;0;450;2596;7681;11529;7752
5;27;2010;58200;0;700;0;9936;14347;1029
5;28;2010;58100;0;0;0;10110;13670;18445
5;29;2010;58000;0;1200;0;27319;14588;2900
5;30;2010;57900;0;2550;0;10471;13073;17631
5;31;2010;57700;0;16550;0;11845;13936;11686
6;1;2010;57600;0;7900;0;11719;12201;0
6;2;2010;57500;0;700;0;18241;8073;3375
6;3;2010;60000;0;0;0;4833;17753;6200
6;4;2010;59900;0;0;6087;8912;20655;13701
6;5;2010;59800;0;0;10496;8568;20306;125
6;6;2010;59700;0;0;11119;3123;13937;0
6;7;2010;59500;0;850;14842;11754;14732;10744
6;8;2010;59400;0;5450;15006;5350;13763;8324
6;9;2010;59300;0;3500;15816;12802;12112;2100
6;10;2010;59200;0;350;15402;9658;10163;5872
6;11;2010;59100;0;0;15554;18510;8447;14305
6;12;2010;59000;0;7550;15039;14459;4852;10356
6;13;2010;58900;0;16600;15208;12383;9916;36012
6;14;2010;58800;0;4300;15421;6083;9800;10741
6;15;2010;58600;0;1000;10448;11891;11726;2768
6;16;2010;58500;0;20150;18227;16995;8777;13593
6;17;2010;58400;0;13300;25295;9185;5763;12423
6;18;2010;58300;0;59550;24552;16436;9148;15711
6;19;2010;58200;0;2300;21041;12713;16911;8510
6;20;2010;58100;0;600;23291;11335;14070;19576
6;21;2010;58000;0;17050;25836;25583;14233;11217
6;22;2010;57800;0;0;27097;8828;9793;2008
6;23;2010;57700;0;0;16866;4660;9891;5099
6;24;2010;57600;0;0;23735;9875;12871;21088
6;25;2010;57500;0;0;24548;14530;12540;4633
6;26;2010;57400;0;0;22758;17462;12654;23022
6;27;2010;57300;0;0;24455;18641;11558;6626
6;28;2010;57200;0;0;23400;0;13174;0
6;29;2010;57100;0;0;25223;50;11560;324
6;30;2010;56900;0;0;23079;290;13609;0
7;1;2010;56800;0;0;25154;284;10558;17852
7;2;2010;56700;0;0;25291;74;11065;14210
7;3;2010;56600;0;0;25198;1966;11698;432
7;4;2010;56500;0;0;24960;854;10429;3079
7;5;2010;56400;0;0;24982;7417;11688;803
7;6;2010;56300;0;0;24761;218;11655;473
7;7;2010;56100;0;0;24578;156;11770;1245
7;8;2010;56000;0;0;24379;26;11512;0
7;9;2010;55900;0;8300;24792;12140;10748;0
7;10;2010;55800;0;9850;15199;25924;13210;0
7;11;2010;55700;0;5300;8235;18296;15420;0
7;12;2010;53000;0;0;8302;9397;14038;0
7;13;2010;52900;0;1400;17064;9998;13997;999
7;14;2010;52700;0;1100;12843;25551;13746;0
7;15;2010;0;0;350;9307;10793;8391;0
7;16;2010;0;0;1100;0;14135;0;0
7;17;2010;0;0;0;0;7601;0;0
7;18;2010;0;0;0;0;5122;0;0
7;19;2010;0;0;100;0;3113;0;200
7;20;2010;0;0;0;0;930;0;0
7;21;2010;0;0;0;0;56;0;0
7;22;2010;0;0;0;0;142;0;0
7;23;2010;0;0;0;0;0;0;0
7;24;2010;0;0;0;0;0;0;0
7;25;2010;0;0;0;0;0;0;0
7;26;2010;0;0;0;0;1;0;0
7;27;2010;0;0;0;0;226;0;0
7;28;2010;0;0;0;0;390;0;0
7;29;2010;0;0;0;0;264;0;0
7;30;2010;0;0;0;0;35;0;0
7;31;2010;0;0;0;0;79;0;0
8;1;2010;0;0;0;0;105;0;0
8;2;2010;0;0;0;0;51;0;0
8;3;2010;0;0;0;0;15;0;0
8;4;2010;0;0;0;0;11;0;0
8;5;2010;0;0;0;0;2;0;0
8;6;2010;0;0;0;0;98;0;0
8;7;2010;0;0;0;0;2;0;0
8;8;2010;0;0;0;0;179;0;0
8;9;2010;0;0;0;0;2;0;0
8;10;2010;0;41693;0;0;170;0;0
8;11;2010;0;0;0;0;0;0;0
8;12;2010;0;0;0;0;0;0;0
8;13;2010;0;0;0;0;0;0;0
8;14;2010;0;0;0;0;0;0;0
8;15;2010;0;0;0;0;0;0;0
8;16;2010;0;0;0;0;0;0;0
8;17;2010;0;4222;0;0;0;0;0
8;18;2010;0;0;0;0;0;0;0
8;19;2010;0;0;0;0;0;0;0
8;20;2010;0;0;0;0;0;0;0
8;21;2010;0;0;0;0;0;0;0
8;22;2010;0;0;0;0;0;0;0
8;23;2010;0;0;0;0;0;0;0
8;24;2010;0;0;0;0;0;0;0
8;25;2010;0;0;0;0;0;0;0
8;26;2010;0;2424;0;0;0;0;0
8;27;2010;0;0;0;0;0;0;0
8;28;2010;0;0;0;0;0;0;0
8;29;2010;0;0;0;0;0;0;0
8;30;2010;0;0;0;0;0;0;0
8;31;2010;0;2134;0;0;0;0;0
9;1;2010;0;126;0;0;0;0;0
9;2;2010;0;0;0;0;0;0;0
9;3;2010;0;0;0;0;0;0;0
9;4;2010;0;0;0;0;0;0;0
9;5;2010;0;0;0;0;0;0;0
9;6;2010;0;427;0;0;0;0;0
9;7;2010;0;0;0;0;0;0;0
9;8;2010;0;429;0;0;0;0;0
9;9;2010;0;405;0;0;0;0;0
9;10;2010;0;0;0;0;0;0;0
9;11;2010;0;0;0;0;0;0;0
9;12;2010;0;562;0;0;0;0;0
9;13;2010;0;0;0;0;0;0;0
9;14;2010;0;0;0;0;0;0;0
9;15;2010;0;493;0;0;0;0;0
